movieId,Director,Budget,Cumulative Worldwide Gross,Runtime
373,John Dahl,8000000,2502551,1 hour 38 minutes
372,Ben Stiller,11500000,33351557,1 hour 39 minutes
371,Ron Howard,6000000,48424341,1 hour 52 minutes
370,Peter Segal,30000000,51132598,1 hour 23 minutes
369,Alan Rudolph,7000000,2144667,2 hours 5 minutes
368,Richard Donner,75000000,183031272,2 hours 7 minutes
367,Chuck Russell,23000000,351583407,1 hour 41 minutes
366,Wes Craven,8000000,19721741,1 hour 52 minutes
365,Bernardo Bertolucci,35000000,4885392,2 hours 3 minutes
364,"Roger Allers, Rob Minkoff",45000000,979161373,1 hour 28 minutes
363,Ray Müller,-,449707,3 hours 3 minutes
362,Stephen Sommers,27000000,52389402,1 hour 51 minutes
361,Andrew Bergman,20000000,37939757,1 hour 41 minutes
360,Charles Shyer,45000000,30806194,2 hours 3 minutes
359,Darnell Martin,-,1760527,1 hour 44 minutes
358,John Singleton,-,38290723,2 hours 8 minutes
357,Mike Newell,4400000,245700832,1 hour 57 minutes
356,Robert Zemeckis,55000000,678226465,2 hours 22 minutes
